frame,fps,compute_ms,sleep_ms,util,timestamp
21,109.2485838249646,6.947994232177734,1.3853391011555989,0.8336592687490784,1763889643.6439557
22,107.40127060806648,4.948854446411133,3.3844788869222002,0.5937912786159021,1763889643.6529346
23,108.19559959850844,7.96961784362793,0.3637154897054035,0.9562393925082506,1763889643.6619725
24,108.68533902248092,5.017518997192383,3.3158143361409502,0.6020300360587589,1763889643.6710203
25,109.05322260010284,5.969524383544922,2.363808949788411,0.7162569751883681,1763889643.6799917
26,109.5355117216885,4.998445510864258,3.3348878224690752,0.599741492324632,1763889643.6890404
27,109.7310310409874,4.948854446411133,3.3844788869222002,0.5937912786159021,1763889643.6980495
28,109.98454431303445,5.940914154052734,2.3924191792805987,0.7128241595871777,1763889643.7079895
29,108.10854403981136,5.031585693359375,3.301747639973958,0.6037178370626776,1763889643.7170475
30,108.56676784924224,7.942438125610352,0.39089520772298164,0.9529782176871199,1763889643.7256672
31,110.05584831158941,5.017757415771484,3.3155759175618487,0.6020586428554355,1763889643.734685
32,110.22326839625089,5.99980354309082,2.3335297902425127,0.7198900383662945,1763889643.7437456
33,110.25215627950894,4.939556121826172,3.393777211507161,0.5926756135455152,1763889643.7527204
34,110.48636758663348,5.966424942016602,2.3669083913167315,0.7158850868315725,1763889643.7627156
35,108.39865445382127,4.979848861694336,3.353484471638997,0.5975101621838583,1763889643.7727363
36,106.67754359636656,4.94837760925293,3.3849557240804033,0.5937340650225489,1763889643.781716
37,107.6142523792173,6.96873664855957,1.364596684773763,0.8361480600599414,1763889643.7907193
38,108.30581851266362,4.965543746948242,3.367789586385091,0.5957937543832631,1763889643.7997422
39,108.81035173178502,4.942178726196289,3.391154607137044,0.5929902883089577,1763889643.808736
40,109.28566441434938,4.948854446411133,3.3844788869222002,0.5937912786159021,1763889643.8186848
41,107.53159901614208,4.999876022338867,3.333457310994466,0.5999131331046915,1763889643.8277154
42,108.17224966991924,6.969451904296875,1.3638814290364583,0.836233880449971,1763889643.8367443
43,108.6888639028221,4.940509796142578,3.392823537190755,0.5927900407322215,1763889643.845744
44,109.17433535358734,4.940986633300781,3.392346700032552,0.5928472543255747,1763889643.8547418
45,109.56683447258901,5.944252014160156,2.389081319173177,0.71322465474065,1763889643.863736
46,109.89026113124692,4.948854446411133,3.3844788869222002,0.5937912786159021,1763889643.8727424
47,110.11839272541262,4.972696304321289,3.360637029012044,0.5966519582835608,1763889643.8827422
48,108.09521010327131,4.942893981933594,3.3904393513997393,0.5930761086989874,1763889643.891716
49,108.76317889586926,5.969047546386719,2.3642857869466143,0.716199761595015,1763889643.900742
50,109.16862859400537,4.943132400512695,3.3902009328206377,0.593104715495664,1763889643.9107425
51,107.33396831804612,4.942417144775391,3.3909161885579424,0.5930188951056342,1763889643.919742
52,108.09041888576654,4.952430725097656,3.380902608235677,0.5942203805660509,1763889643.9287357
53,108.71030764453391,4.949331283569336,3.384002049763997,0.5938484922092553,1763889643.9377444
54,109.16914065049548,7.940530776977539,0.39280255635579414,0.9527493633137072,1763889643.9465675
55,110.002937564307,5.017518997192383,3.3158143361409502,0.6020300360587589,1763889643.955618
56,110.10089588916952,5.966901779174805,2.3664315541585283,0.7159423004249257,1763889643.9645956
57,110.35825754256653,4.989385604858398,3.3439477284749346,0.5986544340509218,1763889643.9736438
58,110.39039249554305,4.941225051879883,3.3921082814534502,0.5928758611222513,1763889643.9826424
59,110.53791344533889,5.943536758422852,2.3897965749104815,0.7131388343506202,1763889643.9926155
60,108.48437809072009,4.969596862792969,3.3637364705403643,0.5962800699267651,1763889644.001642
61,108.94441742239118,7.943391799926758,0.3899415334065754,0.9530926448738262,1763889644.0105784
62,109.53589784592214,5.017280578613281,3.316052754720052,0.6020014292620823,1763889644.0196261
63,109.73366965885582,5.969762802124023,2.3635705312093096,0.7162855819850447,1763889644.028653
64,109.94326545952701,4.942655563354492,3.390677769978841,0.5930475019023108,1763889644.0376554
65,110.17079394022683,4.971027374267578,3.362305959065755,0.5964517107068246,1763889644.046654
66,110.3622346010859,5.943059921264648,2.3902734120686846,0.713081620757267,1763889644.055655
67,110.50950002160987,4.94074821472168,3.3925851186116533,0.5928186475288981,1763889644.0646546
68,110.63084424861755,4.972219467163086,3.361113866170247,0.5965947446902076,1763889644.073653
69,110.73086373019605,4.942893981933594,3.3904393513997393,0.5930761086989874,1763889644.0826032
70,110.9304768126065,6.994009017944336,1.3393243153889973,0.8391803805076595,1763889644.091653
71,110.84409165610238,4.942655563354492,3.390677769978841,0.5930475019023108,1763889644.1005993
72,111.0311830335939,5.996227264404297,2.337106068929036,0.7194609364161457,1763889644.1096466
73,110.93106285241602,5.9490203857421875,2.3843129475911455,0.7137967906741817,1763889644.1186574
74,110.94045805036168,4.9381256103515625,3.3952077229817705,0.5925039727654557,1763889644.127647
75,111.00036537942209,4.948854446411133,3.3844788869222002,0.5937912786159021,1763889644.137596
76,108.90287803528298,4.999637603759766,3.3336957295735674,0.5998845263080149,1763889644.146597
77,109.34201476896753,6.031513214111328,2.301820119222005,0.7236947423242805,1763889644.1566532
78,107.36172675388761,6.973028182983398,1.3603051503499348,0.8366629824001199,1763889644.1656535
79,108.11085954880545,4.971742630004883,3.3615907033284502,0.5965375310968544,1763889644.1746528
80,108.71252062797035,6.942987442016602,1.3903458913167317,0.83305852601887,1763889644.1836467
81,109.20739953129763,4.9800872802734375,3.3532460530598955,0.5975387689805349,1763889644.1926534
82,109.57151562260276,7.941961288452148,0.39137204488118477,0.9529210040937667,1763889644.2020233
